Marker,X,Y,Z,ID,PartnerID,Volume,Partner.Volume,Pair.Volume,PairID,Pair.Distance
glur,83.2598,63.6243,4.33143,93,98,0.772876,0.460235,1.233111,9893,0.255265885
glur,60.0941,67.4842,5.88049,99,99,0.532689,0.33564,0.868329,9999,0.058045628
glur,66.8545,66.4297,3.58424,100,100,0.871501,0.275671,1.147172,100100,0.352088012
glur,76.2775,67.8076,4.85339,101,101,0.812079,0.3752,1.187279,101101,0.378662254
glur,47.7366,63.1416,5.49984,104,102,0.950503,0.454909,1.405412,102104,0.303415194
glur,51.7246,65.5018,4.99396,106,103,1.16071,0.302033,1.462743,103106,0.413871674
glur,50.5174,67.6015,5.26201,107,104,0.607254,0.290614,0.897868,104107,0.324061917
glur,49.5193,69.3204,4.29789,105,105,0.63456,0.350919,0.985479,105105,0.213297123
glur,60.0339,69.0361,4.9512,102,106,0.623599,0.249423,0.873022,106102,0.195803162
glur,61.1623,62.3163,5.49648,103,107,0.839493,0.27558,1.115073,107103,0.197474799
glur,42.5036,69.6798,5.96326,113,108,0.85909,0.371505,1.230595,108113,0.15281197
glur,50.4515,64.4866,3.35335,109,109,0.978812,0.316916,1.295728,109109,0.251127502
glur,62.3129,69.1058,4.14072,110,110,0.588704,0.293932,0.882636,110110,0.226727313
glur,33.5392,66.6032,4.49393,116,111,0.426753,0.197864,0.624617,111116,0.368277135
glur,31.8317,66.9698,4.65646,111,112,0.553016,0.239056,0.792072,112111,0.226092326
glur,43.0855,70.1928,5.31577,112,113,1.0579,0.544678,1.602578,113112,0.191499945
glur,23.163,71.1043,5.50455,122,114,0.730873,0.333881,1.064754,114122,0.233689283
glur,37.2344,66.1379,3.36588,118,115,0.555911,0.191088,0.746999,115118,0.216013112
glur,46.9613,68.3451,3.44958,114,116,0.919111,0.366639,1.28575,116114,0.282989593
glur,16.4485,70.25,5.11763,120,117,0.587563,0.245607,0.83317,117120,0.23282925
glur,25.8852,70.5082,4.92325,121,118,0.53256,0.235258,0.767818,118121,0.16934894
glur,31.479,68.9723,5.73233,117,119,0.976265,0.343341,1.319606,119117,0.269345633
glur,30.2743,70.5913,4.45903,124,120,0.673688,0.755654,1.429342,120124,0.174503292
glur,18.9388,70.7798,4.24107,128,121,0.729333,0.613851,1.343184,121128,0.13749537
glur,18.3835,65.405,4.57435,125,122,0.810985,0.441977,1.252962,122125,0.198599436
glur,25.0333,67.1179,3.97536,127,123,0.338706,0.344233,0.682939,123127,0.259814359
glur,21.2805,70.2,3.73388,126,124,0.759529,0.390886,1.150415,124126,0.321421086
glur,16.6814,68.0576,4.29569,123,125,1.07142,0.743717,1.815137,125123,0.21048373
glur,30.2333,67.8512,3.09236,129,126,0.518981,0.318719,0.8377,126129,0.101224375
glur,31.6336,67.3567,3.53683,119,127,0.717563,0.691651,1.409214,127119,0.252835489
ctbp2,68.8407,72.3761,9.84196,0,8,0.253145,0.712931,0.966076,08,0.141195476
ctbp2,74.149,71.956,10.4237,1,4,0.644867,0.785584,1.430451,14,0.433267469
ctbp2,71.4545,71.8338,10.8667,2,5,0.375931,0.377197,0.753128,25,0.203616527
ctbp2,63.7594,72.6297,7.41817,3,10,0.571099,0.506321,1.07742,310,0.242723943
ctbp2,69.9101,72.4424,7.80264,4,6,0.259722,0.395319,0.655041,46,0.229910263
ctbp2,72.4697,72.4554,9.12331,5,7,0.398901,0.342289,0.74119,57,0.316776606
ctbp2,48.0534,72.2822,6.22536,6,85,0.437049,0.406565,0.843614,685,0.282237285
ctbp2,61.0686,72.2475,6.12207,7,84,0.439468,0.453454,0.892922,784,0.184796591
ctbp2,61.8681,72.7078,6.39718,8,14,0.185347,0.648632,0.833979,814,0.279177654
ctbp2,19.2067,72.3229,7.58996,9,20,0.391268,0.685355,1.076623,920,0.271562893
ctbp2,45.9853,72.4545,6.49158,10,15,0.374911,0.338308,0.713219,1015,0.143857356
ctbp2,45.7658,72.4197,7.45621,11,17,0.477954,0.453428,0.931382,1117,0.115507804
ctbp2,18.4764,73.1896,6.21233,12,87,0.306313,0.484309,0.790622,1287,0.245377057
ctbp2,16.5602,73.3772,6.26004,13,18,0.559855,0.461026,1.020881,1318,0.136633277
ctbp2,97.7079,70.857,8.59946,15,23,0.296265,0.368604,0.664869,1523,0.092942294
ctbp2,100.87,71.263,8.53612,16,1,0.332961,0.361782,0.694743,161,0.210077301
ctbp2,101.792,70.4158,7.78989,17,25,0.252453,0.427276,0.679729,1725,0.211799719
ctbp2,103.031,62.5902,8.19312,18,26,0.356203,0.638101,0.994304,1826,0.296761771
ctbp2,99.5501,68.0601,8.0132,19,22,0.520031,0.420651,0.940682,1922,0.209801527
ctbp2,95.5268,66.72,7.31358,20,29,0.504172,0.873446,1.377618,2029,0.221173249
ctbp2,96.6547,70.3511,6.6597,21,32,0.342412,0.470325,0.812737,2132,0.142801747
ctbp2,101.119,70.6052,6.4688,22,31,0.291405,0.263964,0.555369,2231,0.102835199
ctbp2,98.5563,70.722,7.02752,23,27,0.472364,0.560067,1.032431,2327,0.264083034
ctbp2,78.8757,68.3626,10.5127,24,35,0.254811,0.571071,0.825882,2435,0.142223803
ctbp2,83.3246,71.5131,12.0441,25,0,0.298303,0.734839,1.033142,250,0.225392125
ctbp2,95.0958,67.9649,6.54054,26,30,0.585607,0.472873,1.05848,2630,0.160744902
ctbp2,84.8548,69.719,9.60295,27,33,0.827232,0.622259,1.449491,2733,0.353243478
ctbp2,91.912,70.807,9.60505,28,34,0.735698,0.758604,1.494302,2834,0.17172857
ctbp2,80.4066,71.6926,9.66553,29,2,0.558478,0.531576,1.090054,292,0.217277168
ctbp2,91.2855,67.3316,8.2045,30,37,0.58253,0.711333,1.293863,3037,0.192320457
ctbp2,92.708,68.7841,8.59331,31,38,0.204894,0.730188,0.935082,3138,0.235540357
ctbp2,88.0921,70.3665,8.32537,32,36,0.371429,0.487324,0.858753,3236,0.123963472
ctbp2,86.8723,69.8495,7.05225,33,40,0.439267,0.39521,0.834477,3340,0.095789981
ctbp2,91.5496,70.5976,6.91526,34,44,0.415218,0.487301,0.902519,3444,0.176802971
ctbp2,81.2675,71.0612,7.23106,35,41,0.380481,0.574633,0.955114,3541,0.129992857
ctbp2,92.5241,69.5181,6.304,36,42,0.485397,0.518866,1.004263,3642,0.393344413
ctbp2,86.4148,65.6539,7.05359,37,39,0.49711,0.622104,1.119214,3739,0.16501154
ctbp2,85.1659,69.116,6.92001,38,43,0.375251,0.278099,0.65335,3843,0.33250498
ctbp2,67.478,69.8792,8.086,39,49,0.335025,0.393851,0.728876,3949,0.157724641
ctbp2,73.2184,68.7523,8.5307,40,47,0.18433,0.383212,0.567542,4047,0.219217791
ctbp2,63.1673,70.6146,7.72564,42,50,0.359315,0.238389,0.597704,4250,0.204099872
ctbp2,76.4075,71.0555,7.6383,43,45,0.161563,0.44319,0.604753,4345,0.191537828
ctbp2,75.0352,71.3053,7.69947,44,11,0.28537,0.216768,0.502138,4411,0.163356782
ctbp2,68.8807,71.2593,6.63056,45,53,0.283733,0.330636,0.614369,4553,0.173562342
ctbp2,67.6867,64.9811,6.91805,46,48,0.231655,0.794885,1.02654,4648,0.189859817
ctbp2,67.698,68.4194,7.05955,47,52,0.239461,0.195592,0.435053,4752,0.266537465
ctbp2,56.9374,71.7453,9.07302,48,9,0.324474,0.605288,0.929762,489,0.250079192
ctbp2,55.6568,68.703,9.60879,49,51,0.277621,0.68914,0.966761,4951,0.268991271
ctbp2,67.1516,66.8925,6.08755,50,97,0.130781,0.309039,0.43982,5097,0.318900455
ctbp2,55.2517,71.1677,8.44421,51,54,0.201541,0.75819,0.959731,5154,0.127425142
ctbp2,53.1903,69.6083,8.96621,52,56,0.315837,0.716883,1.03272,5256,0.228775895
ctbp2,57.9285,71.1664,9.07182,53,55,0.329205,0.731581,1.060786,5355,0.26222789
ctbp2,62.8587,65.4943,7.97211,54,46,0.23302,0.682202,0.915222,5446,0.306535973
ctbp2,52.4697,65.7744,7.64709,55,58,0.390794,1.01371,1.404504,5558,0.123699905
ctbp2,53.0055,70.9938,8.29859,56,59,0.261161,0.773717,1.034878,5659,0.217145815
ctbp2,61.6798,70.1577,7.01933,57,57,0.572574,0.353546,0.92612,5757,0.06972737
ctbp2,58.9151,69.2847,7.25631,58,60,0.433753,0.850192,1.283945,5860,0.248122023
ctbp2,51.4357,69.9937,7.29494,59,62,0.36536,0.616231,0.981591,5962,0.20954298
ctbp2,51.4706,64.5739,7.15643,60,65,0.185049,0.257982,0.443031,6065,0.128130443
ctbp2,54.1763,69.6874,7.09749,61,61,0.266081,0.475025,0.741106,6161,0.171878512
ctbp2,57.0545,69.9021,7.05225,62,63,0.675928,0.922153,1.598081,6263,0.210862468
ctbp2,48.6692,71.5075,6.15835,63,13,0.398922,0.418878,0.8178,6313,0.230269075
ctbp2,60.8542,71.4677,6.10211,64,12,0.304857,0.551597,0.856454,6412,0.155540927
ctbp2,57.8409,64.2439,7.00755,65,64,0.23132,0.785735,1.017055,6564,0.15592558
ctbp2,39.0348,71.0426,8.17918,66,66,0.475548,0.466561,0.942109,6666,0.194055259
ctbp2,35.3137,70.6007,9.12749,67,67,0.242129,0.661659,0.903788,6767,0.134497649
ctbp2,47.836,69.884,6.42812,68,68,0.39125,0.609036,1.000286,6868,0.238339993
ctbp2,39.0887,68.3816,7.63911,69,69,0.648983,0.632599,1.281582,6969,0.271403077
ctbp2,33.8121,65.5658,7.81227,70,71,0.191092,0.360551,0.551643,7071,0.190303626
ctbp2,33.3481,70.1865,7.77717,71,70,0.377322,0.312815,0.690137,7170,0.232481776
ctbp2,43.1287,66.1063,6.86974,72,73,0.541722,0.768321,1.310043,7273,0.183642441
ctbp2,40.5097,69.9022,7.01155,73,74,0.352041,0.502511,0.854552,7374,0.192082567
ctbp2,34.7054,71.3179,6.82824,75,16,0.866616,1.03054,1.897156,7516,0.156957768
ctbp2,45.1789,64.0034,6.93373,76,72,0.286862,0.800815,1.087677,7672,0.161624644
ctbp2,40.6237,66.1729,6.99669,77,77,0.372508,0.329768,0.702276,7777,0.434546161
ctbp2,24.0313,64.0187,8.4916,78,75,0.17405,0.739036,0.913086,7875,0.193643416
ctbp2,38.7048,70.3521,6.20328,79,76,0.350485,0.334091,0.684576,7976,0.194859392
ctbp2,36.772,70.8683,6.20362,80,108,0.432524,0.616562,1.049086,80108,0.278960672
ctbp2,29.1705,62.1136,7.82081,81,78,0.380278,1.06115,1.441428,8178,0.220696045
ctbp2,21.0126,66.8012,8.01007,82,79,0.0830111,0.745635,0.8286461,8279,0.232316191
ctbp2,23.8268,71.2861,8.0295,83,80,0.213048,0.405699,0.618747,8380,0.231326223
ctbp2,30.5268,71.4524,6.05236,84,86,0.429181,0.378881,0.808062,8486,0.123320811
ctbp2,28.2768,71.7907,7.1249,85,19,0.181393,0.549364,0.730757,8519,0.148479018
ctbp2,28.3249,70.5783,7.2445,86,82,0.193167,0.645933,0.8391,8682,0.102698512
ctbp2,28.5693,66.3824,6.39989,87,81,0.288109,0.689638,0.977747,8781,0.205180927
ctbp2,15.6848,65.9076,8.2028,88,83,0.324571,0.761627,1.086198,8883,0.097121234
ctbp2,47.0042,72.0464,5.85754,89,88,0.289611,0.812278,1.101889,8988,0.303145053
ctbp2,96.1873,67.1521,5.43988,90,89,0.740984,0.707195,1.448179,9089,0.42717727
ctbp2,82.5025,69.4788,5.64941,91,91,0.432909,1.00438,1.437289,9191,0.360118563
ctbp2,100.097,65.9631,4.69431,92,92,0.367546,1.06732,1.434866,9292,0.236314341
ctbp2,91.4515,64.7935,4.58748,93,94,0.467656,0.898651,1.366307,9394,0.214624462
ctbp2,79.0361,66.0976,4.58042,94,95,0.512066,1.00857,1.520636,9495,0.188369132
