Position X,Position Y,Position Z,ID,Volume
45.1789,64.0034,6.93373,76,0.286862
40.6237,66.1729,6.99669,77,0.372508
24.0313,64.0187,8.4916,78,0.17405
38.7048,70.3521,6.20328,79,0.350485
36.772,70.8683,6.20362,80,0.432524
29.1705,62.1136,7.82081,81,0.380278
21.0126,66.8012,8.01007,82,0.0830111
23.8268,71.2861,8.0295,83,0.213048
30.5268,71.4524,6.05236,84,0.429181
28.2768,71.7907,7.1249,85,0.181393
28.3249,70.5783,7.2445,86,0.193167
28.5693,66.3824,6.39989,87,0.288109
15.6848,65.9076,8.2028,88,0.324571
47.0042,72.0464,5.85754,89,0.289611
96.1873,67.1521,5.43988,90,0.740984
82.5025,69.4788,5.64941,91,0.432909
100.097,65.9631,4.69431,92,0.367546
91.4515,64.7935,4.58748,93,0.467656
79.0361,66.0976,4.58042,94,0.512066
86.8572,67.6096,4.6454,95,0.407263
74.0292,69.5564,5.30475,96,0.0715394
81.1529,66.3641,4.24087,97,0.410827
83.0279,63.7174,4.38354,98,0.460235
60.078,67.47,5.93442,99,0.33564
66.6621,66.6081,3.81902,100,0.275671
76.0614,67.7683,5.16184,101,0.3752
47.6677,63.4355,5.53044,102,0.454909
51.5958,65.5092,5.38721,103,0.302033
50.3679,67.6585,5.54382,104,0.290614
49.3239,69.3114,4.38294,105,0.350919
60.0724,69.0703,5.14011,106,0.249423
61.2613,62.1707,5.5859,107,0.27558
42.4888,69.8249,5.91767,108,0.371505
50.2963,64.5332,3.5452,109,0.316916
62.1404,69.0558,4.2791,110,0.293932
33.4463,66.5432,4.84521,111,0.197864
31.6516,66.98,4.79276,112,0.239056
43.1356,70.1931,5.5006,113,0.544678
23.0894,71.0459,5.71852,114,0.333881
37.1377,66.1157,3.55776,115,0.191088
46.8055,68.3706,3.68444,116,0.366639
16.5473,70.2023,5.32299,117,0.245607
25.9041,70.4661,5.08619,118,0.235258
31.2157,68.9371,5.68782,119,0.343341
30.3627,70.4534,4.5192,120,0.755654
18.9487,70.7155,4.3622,121,0.613851
18.2683,65.3998,4.73604,122,0.441977
25.0917,67.2029,4.21383,123,0.344233
21.15,70.2352,4.0255,124,0.390886
16.7523,68.0414,4.49321,125,0.743717
30.2405,67.8281,3.19065,126,0.318719
31.4246,67.3799,3.67721,127,0.691651
27.1685,68.3796,3.7044,128,0.309894
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
