Position X,Position Y,Position Z,ID,Volume
63.1277,65.4913,8.11906,46,0.682202
73.3738,68.6081,8.5865,47,0.383212
67.7904,64.8902,7.04855,48,0.794885
67.4555,69.8619,7.93085,49,0.393851
63.201,70.5147,7.9004,50,0.238389
55.7588,68.4656,9.68358,51,0.68914
67.7973,68.3447,6.82375,52,0.195592
68.8715,71.2065,6.46548,53,0.330636
55.3346,71.2629,8.42684,54,0.75819
58.1336,71.3065,9.1559,55,0.731581
53.2246,69.5399,9.18181,56,0.716883
61.6423,70.1441,7.07652,57,0.353546
52.375,65.7618,7.72567,58,1.01371
53.1699,71.0192,8.15902,59,0.773717
59.0934,69.2638,7.08503,60,0.850192
54.2966,69.7642,7.00172,61,0.475025
51.326,69.9702,7.11796,62,0.616231
57.0866,69.9154,6.84427,63,0.922153
57.9234,64.1322,7.07847,64,0.785735
51.3707,64.51,7.20495,65,0.257982
39.2085,71.129,8.18374,66,0.466561
35.3167,70.6961,9.22225,67,0.661659
47.9556,69.6784,6.41294,68,0.609036
39.3532,68.3283,7.66841,69,0.632599
33.1157,70.1925,7.77575,70,0.312815
33.7187,65.5329,7.97478,71,0.360551
45.2374,63.9602,7.07807,72,0.800815
43.1648,66.0033,7.01743,73,0.768321
40.6771,69.9253,6.92023,74,0.502511
24.1253,64.1652,8.40675,75,0.739036
38.896,70.3553,6.16583,76,0.334091
40.9147,66.0698,6.69088,77,0.329768
29.0807,62.2016,8.00219,78,1.06115
21.2009,66.6656,8.02132,79,0.745635
23.7316,71.2096,8.22596,80,0.405699
28.6604,66.3143,6.57066,81,0.689638
28.2425,70.5193,7.26112,82,0.645933
15.6164,65.9573,8.25059,83,0.761627
61.0738,72.26,5.93777,84,0.453454
48.2139,72.4073,6.02979,85,0.406565
30.6,71.5178,5.97771,86,0.378881
18.6009,73.283,6.02263,87,0.484309
47.0574,71.9885,5.56477,88,0.812278
96.2414,67.0574,5.02686,89,0.707195
86.9368,67.5594,4.35865,90,0.931238
82.6819,69.4385,5.33977,91,1.00438
100.13,66.0513,4.47757,92,1.06732
83.2598,63.6243,4.33143,93,0.772876
91.4619,64.7912,4.37312,94,0.898651
78.9419,66.1996,4.45312,95,1.00857
73.9439,69.5626,5.12953,96,0.951797
67.3443,66.8852,5.83356,97,0.309039
81.1263,66.3911,3.92611,98,0.537317
60.0941,67.4842,5.88049,99,0.532689
66.8545,66.4297,3.58424,100,0.871501
76.2775,67.8076,4.85339,101,0.812079
60.0339,69.0361,4.9512,102,0.623599
61.1623,62.3163,5.49648,103,0.839493
47.7366,63.1416,5.49984,104,0.950503
49.5193,69.3204,4.29789,105,0.63456
51.7246,65.5018,4.99396,106,1.16071
50.5174,67.6015,5.26201,107,0.607254
36.8842,70.9185,5.9532,108,0.616562
50.4515,64.4866,3.35335,109,0.978812
62.3129,69.1058,4.14072,110,0.588704
31.8317,66.9698,4.65646,111,0.553016
43.0855,70.1928,5.31577,112,1.0579
42.5036,69.6798,5.96326,113,0.85909
46.9613,68.3451,3.44958,114,0.919111
41.8521,66.8315,4.11696,115,0.125374
33.5392,66.6032,4.49393,116,0.426753
31.479,68.9723,5.73233,117,0.976265
37.2344,66.1379,3.36588,118,0.555911
31.6336,67.3567,3.53683,119,0.717563
16.4485,70.25,5.11763,120,0.587563
25.8852,70.5082,4.92325,121,0.53256
23.163,71.1043,5.50455,122,0.730873
16.6814,68.0576,4.29569,123,1.07142
30.2743,70.5913,4.45903,124,0.673688
18.3835,65.405,4.57435,125,0.810985
21.2805,70.2,3.73388,126,0.759529
25.0333,67.1179,3.97536,127,0.338706
18.9388,70.7798,4.24107,128,0.729333
30.2333,67.8512,3.09236,129,0.518981
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
